GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
167	7/12/14	Chicago Red Stars	Seattle Reign FC	1	0	Regular Season
168	7/13/14	Portland Thorns FC	FC Kansas City	7	1	Regular Season
169	7/17/14	Chicago Red Stars	Portland Thorns FC	1	1	Regular Season
170	7/17/14	Houston Dash	Washington Spirit	1	1	Regular Season
171	7/18/14	Western New York Flash	FC Kansas City	1	1	Regular Season
172	7/20/14	Portland Thorns FC	Boston Breakers	6	3	Regular Season
173	7/20/14	Sky Blue FC	Washington Spirit	4	2	Regular Season
174	7/20/14	Seattle Reign FC	Chicago Red Stars	1	1	Regular Season
175	7/23/14	Washington Spirit	Portland Thorns FC	1	1	Regular Season
176	7/25/14	Western New York Flash	Boston Breakers	2	4	Regular Season
177	7/26/14	Chicago Red Stars	Houston Dash	0	0	Regular Season
178	7/27/14	FC Kansas City	Sky Blue FC	2	1	Regular Season
179	7/27/14	Seattle Reign FC	Portland Thorns FC	5	0	Regular Season
180	7/30/14	Washington Spirit	FC Kansas City	2	1	Regular Season
181	7/30/14	Houston Dash	Seattle Reign FC	1	4	Regular Season
182	7/31/14	Sky Blue FC	Western New York Flash	1	0	Regular Season
183	8/2/14	Washington Spirit	Chicago Red Stars	2	1	Regular Season
184	8/2/14	FC Kansas City	Seattle Reign FC	1	1	Regular Season
185	8/3/14	Boston Breakers	Western New York Flash	3	4	Regular Season
186	8/3/14	Portland Thorns FC	Houston Dash	1	0	Regular Season
187	8/6/14	FC Kansas City	Boston Breakers	2	1	Regular Season
188	8/6/14	Seattle Reign FC	Houston Dash	4	1	Regular Season
189	8/9/14	Chicago Red Stars	FC Kansas City	2	1	Regular Season
190	8/9/14	Houston Dash	Sky Blue FC	1	3	Regular Season
191	8/9/14	Seattle Reign FC	Washington Spirit	1	1	Regular Season
192	8/10/14	Boston Breakers	Portland Thorns FC	2	0	Regular Season
193	8/13/14	Western New York Flash	Sky Blue FC	2	3	Regular Season
194	8/13/14	Chicago Red Stars	Boston Breakers	2	0	Regular Season
195	8/16/14	Washington Spirit	Sky Blue FC	0	1	Regular Season
196	8/16/14	Chicago Red Stars	Western New York Flash	3	3	Regular Season
197	8/17/14	Portland Thorns FC	Seattle Reign FC	1	0	Regular Season
198	8/17/14	Boston Breakers	Houston Dash	1	0	Regular Season
199	8/20/14	Sky Blue FC	Houston Dash	1	0	Regular Season
200	8/23/14	FC Kansas City	Portland Thorns FC	2	0	Semifinal
201	8/24/14	Seattle Reign FC	Washington Spirit	2	1	Semifinal
202	8/31/14	Seattle Reign FC	FC Kansas City	1	2	Final
203	4/10/15	Houston Dash	Washington Spirit	2	0	Regular Season
204	4/11/15	Portland Thorns FC	Boston Breakers	4	1	Regular Season
205	4/12/15	FC Kansas City	Sky Blue FC	0	1	Regular Season
206	4/12/15	Seattle Reign FC	Western New York Flash	5	1	Regular Season
207	4/18/15	Washington Spirit	FC Kansas City	3	1	Regular Season
208	4/18/15	Portland Thorns FC	Western New York Flash	1	0	Regular Season
209	4/18/15	Sky Blue FC	Houston Dash	1	1	Regular Season
210	4/18/15	Chicago Red Stars	Seattle Reign FC	3	2	Regular Season
211	4/23/15	FC Kansas City	Seattle Reign FC	1	0	Regular Season
212	4/25/15	Chicago Red Stars	Portland Thorns FC	2	2	Regular Season
213	4/26/15	Boston Breakers	Houston Dash	3	2	Regular Season
214	4/26/15	Sky Blue FC	Washington Spirit	1	3	Regular Season
215	5/2/15	Chicago Red Stars	Sky Blue FC	1	0	Regular Season
216	5/2/15	Western New York Flash	Boston Breakers	3	1	Regular Season
217	5/2/15	Houston Dash	FC Kansas City	0	2	Regular Season
218	5/2/15	Seattle Reign FC	Washington Spirit	3	1	Regular Season
219	5/8/15	Western New York Flash	FC Kansas City	0	1	Regular Season
220	5/9/15	Chicago Red Stars	Boston Breakers	3	0	Regular Season
